,id,domain,type,url,content,scraped_at,inserted_at,updated_at,title,authors,keywords,meta_keywords,meta_description,tags,summary,source
According DEBKAfile鈥檚 sources, Palestinian officials in Ramallah were devastated by news of the sudden cutoff of the main sources of the PA鈥檚 revenue. Even the Qatar ruler, whom Abbas visited last week as a last resort to save the PA from economic meltdown, refused to release any more funding.",2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,"MORE WINNING! Israeli intelligence source, DEBKAfile, confirms the Trump Administration to cut off ties with the Palestinians, which means no peace plan, no more financial aid","Cleavis Nowell, Cleavisnowell, Clarence J. Feinour, Don Spilman, Jay Dillon, Al Dajjal, Linda Rivera, Conrad Calvano, Az Gal, Lincoln Applegate Hahn",,[''],,,,
4,9,barenakedislam.com,hate,http://barenakedislam.com/2017/12/25/oh-trump-you-coward-you-just-wait-we-will-dig-your-grave-by-means-of-the-islamic-caliphate/,"鈥淭he time has come to cut off the tongues of those who support peace and those who mourn it.鈥?(Can鈥檛 disagree there, Arab Muslims occupying Israel will never live in peace with the native population 鈥?the Jews).",2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,"鈥淥h, Trump, you coward, you just wait, we will dig your grave by means of the Islamic Caliphate鈥?,"F.N. Lehner, Don Spilman, Clarence J. Feinour, Linda Rivera, Conrad Calvano, Az Gal, Lincoln Applegate Hahn, Kevin Collins, Jesus Rivera",,[''],,,,
5,10,barenakedislam.com,hate,http://barenakedislam.com/2017/12/27/following-guatemalas-decision-to-move-its-embassy-to-jerusalem-the-capital-of-israel-10-more-countries-are-also-considering-the-move/,"The Central American nation and six other states voted with the US and Israel, in contrast to the rest of the UN General Assembly which last week voted 128-9 to condemn the US decision to recognize Jerusalem.

Hotovely did not name any of the 10 countries, but said many had a strong Christian tradition. Philippines, the Czech Republic and Romania abstained from the UNGA vote last week, but have entertained the possibility of joining Guatemala and the United States, with Czech President Milos Zeman supporting the move to Jerusalem.

鈥淚 spoke yesterday with my friend the Guatemalan president, and thanked him for his support of us through his vote in the UN,鈥?he said in the Knesset. 鈥淚 expressed my hope that he will follow President Trump鈥檚 footsteps and recognize Jerusalem as Israel鈥檚 capital, and will begin the process of moving the embassy there. That night he released an announcement that he would in fact do so. So I want to say, from here, to the president of Guatemala: May God bless you, my friend, and may God bless our countries.鈥?,2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,"Following Guatemala鈥檚 decision to move its embassy to Jerusalem, the capital of Israel, 10 MORE countries are also considering the move","Pamela Jeffersons, Cleavis Nowell, Cleavisnowell, Linda Rivera, Conrad Calvano, Az Gal, Lincoln Applegate Hahn, Kevin Collins, Jesus Rivera",,[''],,,,
6,11,blackagendareport.com,unreliable,https://blackagendareport.com/un-backed-police-massacred-haitians-impunity,"UN-Backed Police Massacred Haitians With Impunity

鈥淲hen the police finally left the campus, around 11 a.m., nine civilians lay dead in the courtyard 鈥?five of whom had been shot in the head.鈥?
At 5 o'clock on the morning of November 13, more than 200 Haitian police officers raided the Grand Ravine area of Port-au-Prince. There was a series of loud explosions, followed by gunfire. For the next six hours, the commotion didn鈥檛 stop. The neighborhood was under siege.

What had started as an anti-gang operation in a poor and largely forgotten neighborhood 鈥?in a poor and largely forgotten country 鈥?ended in the summary execution of innocent civilians on a school campus.

The police officers were working with the United Nations Mission for Justice Support in Haiti. It was launched in October, a reboot of a previous mission that had begun in 2004, when thousands of U.N. troops were sent to Haiti following a coup d鈥檈tat, tasked in part with restoring stability and reinforcing national police capacities.

And though the U.N. mission issued a statement days after the raid calling for a prompt investigation by Haitian authorities, it did not publicly acknowledge its own role in the operation. But in late December, a U.N. spokesperson confirmed to The Intercept for the first time that the mission had helped plan the raid, though it distanced itself from the civilian deaths.

鈥淭he reported civilian death[s] were not part of the planned operation but of a unilateral action conducted by some [Haitian police] officers after the conclusion of the operation,鈥?the spokesperson, Sophie Boutaud de la Combe, wrote in an email. The raid of the school, according to the U.N. statement, was done without authorization, without alerting the police hierarchy, and outside of the operational plan.

鈥淭he U.N. mission did not publicly acknowledge its own role in the operation.鈥?
Boutaud de la Combe said that, a day after the raid, the U.N. 鈥渃onducted an internal enquiry with all the unit commanders who participated in the operation.鈥?The U.N. inquiry, not previously reported, absolved the U.N. finding that U.N. police did not fire their weapons and only 鈥渟ecured the perimeter鈥?of the school, she said.

鈥淣one of the [U.N. police] unit proceeded to the location at Maranatha College where the alleged killings took place,鈥?the spokesperson wrote. 鈥淭he planned portion of the operation went relatively well. The post-operation unilateral initiative of some HNP members to conduct a high risk search, proceeding outside of the operational cadre, without advising the hierarchy, without authorization and contravening the operation plan was not part of the planned operation.鈥?
When I arrived at the Maranatha Evangelical College campus, traveling with a broadcast team from Al Jazeera four days after the raid, it was immediately obvious something heinous had transpired.

The blood that stained the concrete was still wet, unable to dry in the blanket of fog and mist that kept the capital unusually cool that particular week. Water pooled in the courtyard鈥檚 clogged drain had turned a dark red, partially obscuring an empty tear gas canister. The smell of the violence still hung in the heavy air.

Classrooms and offices had been ransacked, the contents of closets, drawers, and bookcases spilled across the floors and through the doorways. Light crept in through holes left by bullets that had pierced through the thick concrete. Sometime since the raid, someone had swept another five empty tear gas canisters and close to 100 heavy artillery shells into a pile.

鈥淲ater pooled in the courtyard鈥檚 clogged drain had turned a dark red.鈥?
The morning we arrived, faculty and students were meeting to mourn those who had been killed. The school was still closed. They gathered in one of the small classrooms, closed the door to us outsiders, and began to sing. The religious hymns 鈥?deep, soulful melodies 鈥?echoed throughout the courtyard where they mixed with cries of grieving victims and family members anxious to tell their stories.

鈥淚 must kill myself,鈥?Monique Larosse, whose nephew was shot in this courtyard days earlier, told us. 鈥淲hy did they kill him when they know he was not one of the bad men? He was someone who went to church, studied, and had principles.鈥?
The stories Larose, along with other survivors and family members, told me make clear something went horribly wrong on that mid-November day. While there鈥檚 a lot still unclear, one thing is for certain 鈥?the official narrative is at odds with what the people of Grand Ravine say they witnessed and experienced. And they are a far ways off from finding justice.

Located near the southern entrance to Haiti鈥檚 sprawling capital, Grand Ravine is built on a hillside with picturesque views of the Caribbean Sea. And yet, it鈥檚 a downtrodden neighborhood.

Haphazard construction with paltry regulation has left neighborhoods, including Grand Ravine, with little to no infrastructure or government services. Many areas are only accessible by foot.

Narrow, misshapen alleys ascend through the concrete homes secured with rusted sheet metal.

Amid all this is the Maranatha Evangelical College, which has operated here since the 1940s. Despite the name, it offers classes for neighborhood kids beginning in preschool. The campus is a mashup of school buildings, houses and a healthy number of full-size trees, a dissonant image in a city overwhelmed by concrete. A low wall marks it off from the surrounding area.

The only entrance to the elevated campus is a sloping, winding road that sits behind a large metal gate. The campus is a refuge, an oasis of calm in a section of Haiti rife with gang activity.

Grand Ravine is a 鈥渞ed zone,鈥?the label international forces give to the country鈥檚 most violence-prone areas. In December 2016, Grand Ravine鈥檚 most powerful gang leader, Junior Decimus, was arrested at the airport when he attempted to travel abroad. Soon after, according to a report by local rights organization Justice and Peace, an armed conflict began as others sought to consolidate control of the neighborhood. 鈥淏ursts of automatic weapons sang during the day, while police officers from the nearby station watched helplessly,鈥?according to a hard copy of the organization鈥檚 report.

In October, the month before the police raid, groups of armed youth set up roadblocks, robbing cars in plain sight as they passed.

鈥淭he official narrative is at odds with what the people of Grand Ravine say they witnessed and experienced.鈥?
The same month, thousands of U.N. soldiers stationed in the country since the 2004 coup d鈥檈tat withdrew. Brought to Haiti to restore 鈥渟tability,鈥?the foreign troops have been involved in multiple deadly raids into neighborhoods similar to Grand Ravine. The international community has spent hundreds of millions training the Haitian police for the U.N.鈥檚 eventual departure.

The U.N. Stabilization Mission in Haiti ended its mandate in October, but the U.N. is by no means gone. In place of troops, the U.N. created a smaller successor mission composed of a few thousand police officers. In early November, together with the local police force responsible for the capital, that new U.N. mission helped plan the anti-gang raid into Grand Ravine.

The November 13 raid was one of the first major acts involving the new mission, and the response will define the future of the U.N.鈥檚 relationship with the people of Grand Ravine 鈥?and the success of the newly empowered local police force.

At 6:30 on that mid-November morning, Armand Louis received a phone call from Maranatha College, the school he has directed for the last 30 years. Something was wrong. The police raid had spilled onto the school鈥檚 campus.

When he arrived nearly two hours later, tear gas was already being employed by police, according to an investigation by the National Network of Human Rights Defenders, a local human rights organization known by its French acronym, RNDDH, and confirmed in an interview with Louis. The following account is based on Intercept interviews with multiple witnesses, whose recollections mirror those included in RNDDH鈥檚 subsequent report on the massacre.

Police opened and searched classrooms, ransacking them in an apparent attempt to locate gang members hiding on campus. They didn鈥檛 find any.

There was a brief period of calm. People still on campus gave water to police. The burning in their eyes from the tear gas subsided.

An hour later, Louis said, the school鈥檚 guard, Julio Fongene, approached him and said that a number of gang members had threatened him and were hiding in a storage facility on campus. Louis informed the police.

鈥淭he campus is a refuge, an oasis of calm in a section of Haiti rife with gang activity.鈥?
